Pathways	Reaction-List	Common-Name	Names	Regulated-By	Primary-Products	Primary-Reactants	Object ID	Super-Pathways	Ontology -  all instances of class	Ontology - all subclasses of class	Ontology - direct instances of class	Ontology - direct parents of entity	Ontology - direct subclasses of class	Ontology - pathway type	Final_pathway	Compounds of pathway	Reactants of pathway	Reactions of pathway
PWY-7637	RXN-16440 // RXN-16443 // RXN-16442 // RXN-16439 // RXN-16437 // RXN-16436	"2,2'-dihydroxyketocarotenoids biosynthesis"	"2,2'-dihydroxyketocarotenoids biosynthesis"				PWY-7637					C40-Carotenoids-Biosynthesis // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7847 // CPD-17664 // CPD-17665 // CPD-7852 // CPD-7851 // CPD-17661 // CPD-17660 // WATER // NAD // CPD-17663 // CPD-17662 // NADH // PROTON // OXYGEN-MOLECULE	NADH // PROTON // OXYGEN-MOLECULE // CPD-7851 // CPD-7852 // CPD-7847	RXN-16440 // RXN-16443 // RXN-16442 // RXN-16439 // RXN-16437 // RXN-16436
PWY-5406	RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495	divinyl ether biosynthesis I	divinyl ether biosynthesis I // 9-lipoxygenase and divinyl ether synthase pathway // 9-LOX and DES pathway // colneleate biosynthesis // colnelenate biosynthesis				PWY-5406	PWY-5433				Divinyl-Ether-Biosynthesis // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	LINOLEIC_ACID // CPD-8679 // CPD-8677 // LINOLENIC_ACID // OXYGEN-MOLECULE // WATER // CPD-8680 // CPD-8678	LINOLENIC_ACID // OXYGEN-MOLECULE // LINOLEIC_ACID	RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495
PWY-7679	RXN-16784 // RXN-15329 // RXN-16783 // RXN-15327 // RXN-15326 // RXN-16782 // RXN-16781 // RXN-7998 // RXN-7997 // RXN-16777	anthocyanidin acylglucoside and acylsambubioside biosynthesis	anthocyanidin acylglucoside and acylsambubioside biosynthesis				PWY-7679					ANTHOCYANIN-SYN // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7383 // CPD-7384 // PELARGONIDIN-3-GLUCOSIDE-CMPD // CPD-18099 // CPD-18100 // CPD-18091 // UDP // UDP-D-XYLOSE // CPD-16541 // CPD-18098 // CPD1F-766 // CPD-16536 // P-COUMAROYL-COA // CO-A // CPD-18097 // CPD-16535 // CAFFEOYL-COA // PROTON	CAFFEOYL-COA // P-COUMAROYL-COA // CPD1F-766 // UDP-D-XYLOSE // PELARGONIDIN-3-GLUCOSIDE-CMPD	RXN-16784 // RXN-15329 // RXN-16783 // RXN-15327 // RXN-15326 // RXN-16782 // RXN-16781 // RXN-7998 // RXN-7997 // RXN-16777
PWY-7678	RXN-16780 // RXN-16779 // RXN-16778 // RXN-15326 // RXN-16777	anthocyanidin sambubioside biosynthesis	anthocyanidin sambubioside biosynthesis				PWY-7678					ANTHOCYANIN-SYN // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	PELARGONIDIN-3-GLUCOSIDE-CMPD // CPD1F-766 // PROTON // CPD-18092 // CPD-7117 // UDP-D-XYLOSE // CPD-18093 // CPD-18091 // UDP // CPD-18094 // CPD-12575 // CPD-16535	CPD-12575 // CPD-7117 // UDP-D-XYLOSE // CPD1F-766 // PELARGONIDIN-3-GLUCOSIDE-CMPD	RXN-16780 // RXN-16779 // RXN-16778 // RXN-15326 // RXN-16777
PWY-5286	RXN-8178 // RXN-8177 // RXN-8176	anthocyanidin sophoroside metabolism	anthocyanidin sophoroside metabolism				PWY-5286					ANTHOCYANIN-SYN // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7842 // CPD1F-766 // PROTON // CPD-7843 // PELARGONIDIN-3-GLUCOSIDE-CMPD // UDP // CPD-7844 // CPD-12575 // CPD-7117	CPD-12575 // CPD-7117 // PELARGONIDIN-3-GLUCOSIDE-CMPD // CPD1F-766	RXN-8178 // RXN-8177 // RXN-8176
PWY-6035	RXN-9723 // RXN-9724 // RXN-9725	"2,3-<i>cis</i>-flavanols biosynthesis"	"2,3-<i>cis</i>-flavanols biosynthesis // 2,3-<i>cis</i>-flavan-3-ols biosynthesis"				PWY-6035					FLAVONOL-SYN // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-591 // CPD-7630 // PELARGONIDIN-CMPD // CPD-10413 // PROTON // NADPH // CPD-7090 // CPD-10411 // NADP	CPD-7090 // NADPH // PROTON // PELARGONIDIN-CMPD // CPD-591	RXN-9723 // RXN-9724 // RXN-9725
PWY-4201	RXN-6742 // RXN-6741 // 2.1.1.146-RXN // RXN-6721	volatile cinnamoic ester biosynthesis	volatile cinnamoic ester biosynthesis				PWY-4201					CINNAMATE-SYN // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-6421 // CPD-674 // ISOMETHYLEUGENOL // ISOEUGENOL // CPD-6482 // CPD-6481 // ADENOSYL-HOMO-CYS // CPD-6484 // PROTON // S-ADENOSYLMETHIONINE // CPD-6483	S-ADENOSYLMETHIONINE // CPD-6483 // CPD-6481 // ISOEUGENOL // CPD-674	RXN-6742 // RXN-6741 // 2.1.1.146-RXN // RXN-6721
PWY-7696	RXN-16943 // RXN-16942 // RXN-16933 // RXN-16932	citreoisocoumarin and bikisocoumarin biosynthesis	citreoisocoumarin and bikisocoumarin biosynthesis				PWY-7696					Metabolic-Clusters // POLYKETIDE-SYN		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	NAD-P-OR-NOP // CPD-18256 // NADH-P-OR-NOP // PROTON // ACP // CPD-18257 // CPD-18265 // CPD-18240 // WATER // CPD-18266 // CPD-18209	CPD-18209 // CPD-18240 // NADH-P-OR-NOP // PROTON	RXN-16943 // RXN-16942 // RXN-16933 // RXN-16932
PWY-7251	RXN-111 // RXN-8434 // RXN-12102 // RXN-9915 // RXN-9916 // RXN-7570 // RXN-12099 // RXN-12101 // RXN-12847 // RXN-12103	pentacyclic triterpene biosynthesis	pentacyclic triterpene biosynthesis // pentacyclic triterpenoid biosynthesis				PWY-7251					Metabolic-Clusters // TRITERPENOID-SYN		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-13050 // CPD-13885 // CPD-13047 // CPD-13048 // CPD-6948 // CPD-10667 // GERMANICOL // CPD-13049 // CPD-8250 // CPD-90 // EPOXYSQUALENE	EPOXYSQUALENE	RXN-111 // RXN-8434 // RXN-12102 // RXN-9915 // RXN-9916 // RXN-7570 // RXN-12099 // RXN-12101 // RXN-12847 // RXN-12103
PWY18C3-10	RXN18C3-49 // RXN18C3-48 // RXN18C3-47 // RXN18C3-39 // RXN18C3-38 // RXN18C3-35 // RXN18C3-34	triacylsucrose biosynthesis (<i>Solanum</i>)	triacylsucrose biosynthesis (<i>Solanum</i>)				PWY18C3-10	PWY18C3-12				ACYLSUGAR-BIOSYNTHESIS // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-19048 // CPD-19025 // CPD-19054 // CPD-19023 // CPD-19055 // CPD-19026 // ISOVALERYL-COA // CPD-19130 // ACETYL-COA // CPD-19047 // 2-METHYL-BUTYRYL-COA // CO-A // CPD-19131 // CPD-19027 // ISOBUTYRYL-COA	CPD-19027 // ISOBUTYRYL-COA // 2-METHYL-BUTYRYL-COA // ACETYL-COA // CPD-19026 // ISOVALERYL-COA // CPD-19023 // CPD-19025	RXN18C3-49 // RXN18C3-48 // RXN18C3-47 // RXN18C3-39 // RXN18C3-38 // RXN18C3-35 // RXN18C3-34
PWY18C3-11	RXN18C3-41 // RXN18C3-40 // RXN18C3-37 // RXN18C3-36	tetraacylsucrose biosynthesis (<i>Solanum</i>)	tetraacylsucrose biosynthesis (<i>Solanum</i>)				PWY18C3-11	PWY18C3-12				ACYLSUGAR-BIOSYNTHESIS // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-19049 // CPD-19048 // CPD-19050 // CPD-19047 // CPD-19058 // CPD-19054 // CO-A // CPD-19057 // CPD-19055 // ACETYL-COA	CPD-19055 // ACETYL-COA // CPD-19054 // CPD-19047 // CPD-19048	RXN18C3-41 // RXN18C3-40 // RXN18C3-37 // RXN18C3-36
PWY-7498	2.1.1.88-RXN // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-15534 // RXN-15537 // RXN-1104 // RXN-8262 // RXN-15536 // RXN-8452 // RXN-8451 // RXN-13900	phenylpropanoids methylation (ice plant)	phenylpropanoids methylation (ice plant)				PWY-7498					Metabolic-Clusters // PHENYLPROPANOID-SYN		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-14866 // MYRICETIN // SYRINGETIN // CPD-8605 // CPD-16777 // CPD-8004 // CPD-520 // FERULIC-ACID // CPD-676 // CPD-15281 // CPD-16550 // CPD-16776 // CPD-14907 // FERULOYL-COA // CAFFEOYL-COA // 33457-PENTAHYDROXY-8-METHOXYFLAVON // ADENOSYL-HOMO-CYS // PROTON // S-ADENOSYLMETHIONINE // 334578-HEXAHYDROXYFLAVONE	S-ADENOSYLMETHIONINE // 334578-HEXAHYDROXYFLAVONE // CAFFEOYL-COA // CPD-16550 // CPD-676 // CPD-520 // MYRICETIN // CPD-14866	2.1.1.88-RXN // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-15534 // RXN-15537 // RXN-1104 // RXN-8262 // RXN-15536 // RXN-8452 // RXN-8451 // RXN-13900
PWY18C3-21	RXN-20313 // RXN-20311 // RXN-20310 // RXN18C3-59 // RXN18C3-57 // RXN18C3-58 // RXN18C3-56 // RXN18C3-55 // RXN18C3-54	phenylpropanoid volatiles glycoconjugation (tomato)	phenylpropanoid volatiles glycoconjugation (tomato)				PWY18C3-21					Metabolic-Clusters // PHENYLPROPANOID-SYN		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-19194 // CPD-14737 // CPD-19197 // CPD-19215 // UDP-D-XYLOSE // CPD-19196 // CPD-19216 // CPD-21592 // CPD-6442 // CPD-21950 // CPD-400 // PROTON // UDP // CPD-19195 // CPD-12575 // CPD-6481	CPD-12575 // CPD-6481 // CPD-400 // CPD-6442 // UDP-D-XYLOSE	RXN-20313 // RXN-20311 // RXN-20310 // RXN18C3-59 // RXN18C3-57 // RXN18C3-58 // RXN18C3-56 // RXN18C3-55 // RXN18C3-54
PWY-6801	RXN-18671 // RXN-18670 // RXN-18669 // RXN-18668 // RXN-18667 // RXN-6724 // RXN-12362	volatile esters biosynthesis (during fruit ripening)	volatile esters biosynthesis (during fruit ripening) // ethylene-stimulated fruit ester biosynthesis				PWY-6801					Metabolic-Clusters // PHENYLPROPANOID-SYN		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-13346 // CPD-6443 // BENZYL-ALCOHOL // CPD-19955 // CPD-19956 // BUTANOL // CPD-18998 // ACETYL-COA // CPD-19958 // PROPIONYL-COA // ETOH // CO-A // CPD-19959 // BENZOYLCOA // PROPANOL	BENZOYLCOA // PROPANOL // PROPIONYL-COA // ETOH // ACETYL-COA // BUTANOL // BENZYL-ALCOHOL	RXN-18671 // RXN-18670 // RXN-18669 // RXN-18668 // RXN-18667 // RXN-6724 // RXN-12362
PWY-6029	RXN-1481 // RXN-1484 // RXN-9720	"2,3-<i>trans</i>-flavanols biosynthesis"	"2,3-<i>trans</i>-flavanols biosynthesis // flavan-3-ols biosynthesis"				PWY-6029					FLAVONOID-SYN // Metabolic-Clusters		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7088 // CPD-10358 // CPD-590 // CPD-1961 // PROTON // NADPH // LEUCOPELARGONIDIN-CMPD // CPD-1962 // NADP // WATER	LEUCOPELARGONIDIN-CMPD // NADPH // PROTON // CPD-590 // CPD-7088	RXN-1481 // RXN-1484 // RXN-9720
PWY-6585	3-OXOLAURATE-DECARBOXYLASE-RXN // RXN-15283 // RXN-15282 // RXN-15281 // RXN-15280 // RXN-11669	2-methylketone biosynthesis	2-methylketone biosynthesis // methyl ketone biosynthesis				PWY-6585					Metabolic-Clusters // Plant-Hormone-Biosynthesis // Toxin-Biosynthesis		Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7901 // CPD-14242 // 3-oxo-myristoyl-ACPs // 3-oxo-dodecanoyl-ACPs // ACP // 3-oxo-palmitoyl-ACPs // WATER // CPD-7898 // CPD-16497 // CARBON-DIOXIDE // 2-UNDECANONE // 3-OXODODECANOATE // PROTON	3-oxo-palmitoyl-ACPs // WATER // 3-oxo-dodecanoyl-ACPs // 3-oxo-myristoyl-ACPs	3-OXOLAURATE-DECARBOXYLASE-RXN // RXN-15283 // RXN-15282 // RXN-15281 // RXN-15280 // RXN-11669
PWY-6806	RXN-14334 // RXN-12394 // RXN-12395 // RXN-12396 // RXN-8469 // RXN-8236 // RXN-7886 // RXN-7885 // RXN-7884 // RXN-12393 // RXN-10741	carotenoid cleavage	carotenoid cleavage // apocarotenoid biosynthesis		CPD-13371 // CPD-21154 // CPD-7968 // CPD-7200 // CPD-7202 // CPD-13369	CPD1F-114 // CPD1F-130 // CPD1F-119 // CPD1F-129	PWY-6806					Metabolic-Clusters // TERPENOID-DEG		Metabolic-Clusters // Secondary metabolite degradation	Secondary metabolite degradation	CPD-17216 // CPD1F-129 // CPD-13370 // CPD-13369 // CPD-7199 // CPD1F-119 // CPD-7200 // CPD-7203 // CPD1F-133 // CPD-7968 // CPD-8661 // CPD-21154 // CPD1F-130 // CPD-7969 // CPD-13373 // GERANIAL // CPD-7207 // CPD-13371 // CPD1F-114 // CPD-7202 // CPD-7204 // CPD-13368 // OXYGEN-MOLECULE	OXYGEN-MOLECULE // CPD1F-114 // CPD1F-130 // CPD1F-133 // CPD1F-119 // CPD1F-129	RXN-14334 // RXN-12394 // RXN-12395 // RXN-12396 // RXN-8469 // RXN-8236 // RXN-7886 // RXN-7885 // RXN-7884 // RXN-12393 // RXN-10741
PWY-7615	4.2.1.97-RXN // RXN-16258 // RXN-16257 // RXN-16256 // RXN-16255 // RXN-16218 // RXN-16217 // RXN-16216 // RXN-16215	"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)"	"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)"		PHASEOLLIDIN-HYDRATE // CPD-17504 // CPD-17503 // CPD-17459 // CPD-3942 // CPD-17458 // CPD-17457	CPD-4885 // CPD-4884 // CPD-3944 // CPD-3402 // CPD-3631	PWY-7615					Metabolic-Clusters // PHYTOALEXIN-DEG		Metabolic-Clusters // Secondary metabolite degradation	Secondary metabolite degradation	CPD-17457 // CPD-17458 // Ox-NADPH-Hemoprotein-Reductases // FORMALDEHYDE // CPD-3942 // CPD-3944 // Red-NADPH-Hemoprotein-Reductases // NAD-P-OR-NOP // CPD-17459 // CPD-4884 // NADH-P-OR-NOP // CPD-3402 // CPD-3631 // CPD-17503 // CPD-17501 // NADP // CPD-17504 // CPD-17502 // NADPH // PROTON // OXYGEN-MOLECULE // WATER // CPD-4885 // PHASEOLLIDIN-HYDRATE	CPD-4885 // NADPH // PROTON // OXYGEN-MOLECULE // CPD-3631 // CPD-3402 // CPD-4884 // NADH-P-OR-NOP // CPD-3944 // Red-NADPH-Hemoprotein-Reductases	4.2.1.97-RXN // RXN-16258 // RXN-16257 // RXN-16256 // RXN-16255 // RXN-16218 // RXN-16217 // RXN-16216 // RXN-16215
PWY-5505	GLNSYN-PWY // PWY-4341 // GLUGLNSYN-PWY // GLUTSYN-PWY // GLUTSYNIII-PWY // GLUTAMATE-SYN2-PWY	L-glutamate and L-glutamine biosynthesis	L-glutamate and L-glutamine biosynthesis		GLT		PWY-5505					GLUTAMATE-SYN // GLUTAMINE-SYN // Metabolic-Clusters // Super-Pathways		Metabolic-Clusters // Super-Pathways // Amino-Acid-Biosynthesis	Super-Pathways // Amino-Acid-Biosynthesis	NADH-P-OR-NOP // NAD-P-OR-NOP // NADPH // NADP // AMMONIA // WATER // NADH // NAD // Reduced-ferredoxins // 2-KETOGLUTARATE // Oxidized-ferredoxins // Pi // ADP // GLN // PROTON // AMMONIUM // GLT // ATP		GLUTAMINESYN-RXN // GLUTAMATE-SYNTHASE-FERREDOXIN-RXN // GLUTAMATE-SYNTHASE-NADH-RXN // GLUTAMIN-RXN // RXN-20084 // GLUTDEHYD-RXN // GLUTAMATE-DEHYDROGENASE-NADP+-RXN
OANTIGEN-PWY	UDPNAGSYN-PWY // DTDPRHAMSYN-PWY // GALPMUT-RXN	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)				OANTIGEN-PWY					Metabolic-Clusters // SUGAR-NUCLEOTIDES // Super-Pathways		Metabolic-Clusters // Super-Pathways // Carbohydrates-Biosynthesis	Super-Pathways // Carbohydrates-Biosynthesis	Phosphorylated-phosphoglucomutase // ALPHA-GLUCOSE-16-BISPHOSPHATE // Phosphoglucomutase // Phosphorylated-Phosphoglucosamine-Mutase // CPD0-1096 // Phosphoglucosamine-Mutase // UDP-D-GALACTO-14-FURANOSE // CPD-14553 // NADPH // DTDP-DEOH-DEOXY-MANNOSE // DTDP-RHAMNOSE // NADP // TTP // DTDP-DEOH-DEOXY-GLUCOSE // WATER // DTDP-D-GLUCOSE // D-glucopyranose-6-phosphate // GLC-1-P // PPI // UDP-N-ACETYL-D-GLUCOSAMINE // UTP // PROTON // CO-A // N-ACETYL-D-GLUCOSAMINE-1-P // ACETYL-COA // GLT // GLN // GLUCOSAMINE-1P // D-GLUCOSAMINE-6-P // FRUCTOSE-6P // ALPHA-GLC-6-P	CPD-14553	PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN // PHOSPHOGLUCMUT-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN // GALPMUT-RXN
PWY-6518	PWY-8254 // PWY-8255 // PWY-8256	bile acids epimerization	bile acids epimerization // bile acid metabolism (bacteria) // bile acid conjugate metabolism (bacteria) // bile salt metabolism (bacteria) // cholate epimerization		CPD-12451 // CPD-12450 // CPD-1085 // CPD-24303 // CPD-10534 // CPD-18826	CHOLATE // DEOXYCHOLATE // CPD-15189	PWY-6518					Bile-Acids-Degradation // Metabolic-Clusters // Super-Pathways		Metabolic-Clusters // Super-Pathways // CARBOXYLATES-DEG // Fatty-Acid-and-Lipid-Degradation	Super-Pathways // CARBOXYLATES-DEG // Fatty-Acid-and-Lipid-Degradation	CPD-345 // CPD-1085 // DEOXYCHOLATE // CPD-23247 // CPD-24303 // CPD-12452 // CPD-12451 // CPD-18825 // CPD-18826 // CHOLATE // CHOLANATE2 // CPD-12450 // NADH // CPD-15189 // NAD // PROTON // NADPH // CPD-17275 // CPD-10534 // NADP		RXN-16034 // RXN-16033 // RXN-11470 // 7-ALPHA-HYDROXYSTEROID-DEH-RXN // RXN-17415 // RXN-17410 // RXN-11472 // RXN-11471 // RXN-22304 // RXN-21346 // 12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN // 1.1.1.176-RXN
PWY-5134	PWY-7857 // PWY-5132 // PWY-5133	superpathway of bitter acids biosynthesis	superpathway of bitter acids biosynthesis				PWY-5134					Metabolic-Clusters // Super-Pathways // TERPENOPHENOLICS-SYN		Metabolic-Clusters // Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7108 // CPD-7104 // 4-PRENYLPHLORISOBUTYROPHENONE // ISOBUTYRYL-COA // ISOBUTYRATE // CPD-7111 // CPD-7107 // 3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN // CPD-7109 // CPD-7106 // CPD-7110 // CPD-7105 // ISOVALERYL-COA // ISOVALERATE // CPD-19790 // CPD-19785 // CPD-4211 // CARBON-DIOXIDE // CPD-19784 // MALONYL-COA // PROTON // 2-METHYL-BUTYRYL-COA // AMP // PPI // ATP // CPD-7076 // CO-A // Acceptor // WATER // CPD-19791 // CPD-19789 // OXYGEN-MOLECULE // Donor-H2		RXN-18452 // RXN-18448 // RXN-18439 // RXN-18442 // RXN-18445 // RXN-18450 // RXN-18446 // RXN-18441 // RXN-7807 // RXN-7810 // RXN-7811 // 2.3.1.156-RXN // RXN-18449 // RXN-18447 // RXN-7813 // RXN-7812 // RXN-7809 // RXN-7805
PWY-6055	RXN-9758 // RXN-9757 // RXN-9756 // METHIONINE-S-METHYLTRANSFERASE-RXN	dimethylsulfoniopropanoate biosynthesis II (Spartina)	dimethylsulfoniopropanoate biosynthesis II (Spartina) // DMSP biosynthesis // dimethylsulfoniopropionate biosynthesis II (Spartina)				PWY-6055					Dimethylsulfoniopropionate-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // MET // CARBON-DIOXIDE // CPD-397 // HYDROGEN-PEROXIDE // AMMONIUM // CPD-10471 // OXYGEN-MOLECULE // PROTON // NADH // SS-DIMETHYL-BETA-PROPIOTHETIN // CPD-10472 // WATER // NAD	WATER // NAD // OXYGEN-MOLECULE // S-ADENOSYLMETHIONINE // MET	RXN-9758 // RXN-9757 // RXN-9756 // METHIONINE-S-METHYLTRANSFERASE-RXN
PWY-6054	RXN-9759 // RXN-9758 // METHIONINE-S-METHYLTRANSFERASE-RXN	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	dimethylsulfoniopropanoate biosynthesis I (Wollastonia) // DMSP biosynthesis // dimethylsulfoniopropionate biosynthesis I (Wollastonia)				PWY-6054					Dimethylsulfoniopropionate-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // MET // NADH // SS-DIMETHYL-BETA-PROPIOTHETIN // WATER // NAD // Amino-Acids-20 // CARBON-DIOXIDE // CPD-10472 // CPD-397 // 2-Oxo-carboxylates // PROTON	2-Oxo-carboxylates // WATER // NAD // S-ADENOSYLMETHIONINE // MET	RXN-9759 // RXN-9758 // METHIONINE-S-METHYLTRANSFERASE-RXN
PWY-6053	R15-RXN // RXN-9753 // RXN-9754 // RXN-9755	dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton)	dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton) // DMSP biosynthesis // dimethylsulfoniopropionate biosynthesis III (algae)				PWY-6053					Dimethylsulfoniopropionate-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	Donor-H2 // CARBON-DIOXIDE // SS-DIMETHYL-BETA-PROPIOTHETIN // WATER // Acceptor // ADENOSYL-HOMO-CYS // CPD-10470 // S-ADENOSYLMETHIONINE // PROTON // NADPH // CPD-10468 // NADP // Amino-Acids-20 // CPD-479 // MET // 2-Oxo-carboxylates	MET // 2-Oxo-carboxylates // NADPH // PROTON // S-ADENOSYLMETHIONINE // WATER // Acceptor	R15-RXN // RXN-9753 // RXN-9754 // RXN-9755
PWY-5662	RXN-12038 // RXN-8852	glucosylglycerate biosynthesis I	glucosylglycerate biosynthesis I				PWY-5662					Glucosylglycerate-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	Pi // CPD-9190 // WATER // PROTON // GDP // CPD-9189 // GDP-D-GLUCOSE // G3P	GDP-D-GLUCOSE // G3P // WATER	RXN-12038 // RXN-8852
PWY-6685	RXN-12028	glucosylglycerate biosynthesis II	glucosylglycerate biosynthesis II				PWY-6685					Glucosylglycerate-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	PROTON // ADP // CPD-9190 // ADP-D-GLUCOSE // GLYCERATE	ADP-D-GLUCOSE // GLYCERATE	RXN-12028
PWY66-421	RXN-11222	homocarnosine biosynthesis	homocarnosine biosynthesis				PWY66-421					Dipeptide-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	Pi // ADP // CPD-12185 // PROTON // 4-AMINO-BUTYRATE // HIS // ATP	4-AMINO-BUTYRATE // HIS // ATP	RXN-11222
PWY-7860	RXN-13567 // RXN-13566	nitric oxide biosynthesis III (bacteria)	nitric oxide biosynthesis III (bacteria)				PWY-7860					Nitric-Oxide-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	ARG // PROTON // WATER // Oxidized-flavodoxins // NITRIC-OXIDE // L-CITRULLINE // CPD-13518 // Reduced-flavodoxins // OXYGEN-MOLECULE	Reduced-flavodoxins // OXYGEN-MOLECULE // ARG	RXN-13567 // RXN-13566
PWY-6845	RXN-13565 // RXN-13564	nitric oxide biosynthesis I (plants)	nitric oxide biosynthesis I (plants)				PWY-6845					Nitric-Oxide-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	ARG // PROTON // WATER // NADP // NITRIC-OXIDE // L-CITRULLINE // CPD-13518 // NADPH // OXYGEN-MOLECULE	NADPH // OXYGEN-MOLECULE // ARG	RXN-13565 // RXN-13564
PWY-4983	ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // NITRIC-OXIDE-SYNTHASE-RXN	nitric oxide biosynthesis II (mammals)	nitric oxide biosynthesis II (mammals) // L-citrulline-NO cycle // L-citrulline-nitric oxide cycle		NITRIC-OXIDE		PWY-4983	PWY-5004				Nitric-Oxide-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	CPD-13518 // WATER // NADP // NITRIC-OXIDE // NADPH // OXYGEN-MOLECULE // AMP // PPI // PROTON // L-ASPARTATE // L-CITRULLINE // ATP // FUM // ARG // L-ARGININO-SUCCINATE	L-ASPARTATE // ATP // NADPH // OXYGEN-MOLECULE	ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // NITRIC-OXIDE-SYNTHASE-RXN
PWY-6687	RXN-12040 // RXN-12028	mannosylglucosylglycerate biosynthesis II	mannosylglucosylglycerate biosynthesis II				PWY-6687					Mannosylglucosylglycerate-Biosynthesis		Metabolic-Regulators	Metabolic-Regulators	ADP // ADP-D-GLUCOSE // GLYCERATE // GDP // CPD-13015 // PROTON // CPD-9190 // GDP-MANNOSE	GDP-MANNOSE // ADP-D-GLUCOSE // GLYCERATE	RXN-12040 // RXN-12028
